,collection_date,country,host_species,reassortant,state,strain_name,subtype
13864,2005-06-28,USA,Chicken/Avian,False,New York,A/chicken/New York/19499/2005,H7N2
13865,2009-05-11,USA,Human,False,Boston,A/Boston/97/2009,H3N2
13866,2009-04-30,USA,Human,False,California,A/California/VRDL266/2009,H3N2
13867,2010-08-12,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00520/2010,H4N6
13868,1988-05-16,USA,Herring Gull/Avian,True,DE,A/herring gull/DE/703/1988,H2N8
13869,2009-07-10,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM2168/2009,H4N6
13870,2007-01-01,Spain,Swine,True,,A/Swine/Spain/80598LP4/2007,H1N2
13871,2007-01-16,USA,Human,False,Texas,A/Texas/UR06-0039/2007,H1N1
13872,2002-08-13,Australia,Human,False,Queensland,A/Queensland/23/2002,H3N2
13873,2009-04-28,Mexico,Human,False,,A/Mexico/24056/2009,H1N1
13874,2009-11-07,USA,Human,False,Texas,A/Texas/JMS360/2009,H1N1
13875,1996-05-15,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/91/1996,H11N2
13876,2013-07-26,Taiwan,Ferret,False,,A/ferret/Taiwan/E01/2013,H1N1
13877,2007-10-18,Sweden,Mallard/Avian,False,,A/mallard/Sweden/68571/2007,H4N6
13878,2000-03-20,China,Chicken/Avian,False,,A/chicken/China/Guangxi1/2000,H9N2
13879,2012-11-17,USA,Northern Shoveler/Avian,False,Ohio,A/northern shoveler/Ohio/12OS5539/2012,H7N3
13880,2013-01-18,USA,Human,False,Boston,A/Boston/YGA_00052/2013,H3N2
13881,2009-05-07,Mexico,Human,False,Mexico City,A/Mexico City/IBT22/2009,H1N1
13882,2006-01-01,Pakistan,Chicken/Avian,False,Sihala,A/chicken/Sihala/NARC3303.4/2006,H5N1
13883,2009-11-13,Sweden,Mallard/Avian,False,,A/mallard/Sweden/101733/2009,H4N6
13884,2009-08-08,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM7632R0/2009,H4N6
13885,2009-04-10,USA,Swine,False,Oklahoma,A/swine/Oklahoma/02722/2009,H1N2
13886,2010-11-02,Peru,Human,False,,A/Peru/PER212/2010,H3N2
13887,2004-10-19,New Zealand,Human,False,Wellington,A/Wellington/64/2004,H3N2
13888,2006-01-01,USA,Mallard/Avian,True,Montana,A/mallard/Montana/458328-5/2006,H5N3
13889,2012-12-17,USA,Human,False,Houston,A/Houston/JMM_79/2012,H3N2
13890,2013-08-31,USA,Swine,False,Indiana,A/swine/Indiana/13TOSU5147/2013,H3N2
13891,2007-01-22,USA,Human,False,Colorado,A/Colorado/UR06-0053/2007,H1N1
13892,1999-12-31,Taiwan,Human,False,,A/Taiwan/5072/1999,H1N1
13893,2000-09-08,New Zealand,Human,False,Waikato,A/Waikato/6/2000,H3N2
13894,1999-01-22,Malaysia,Human,False,,A/Malaysia/10759/1999,H3N2
13895,2010-01-29,USA,Human,False,New York,A/New York/3866/2010,H1N1
13896,2009-11-09,USA,Human,False,New York,A/New York/5976/2009,H1N1
13897,2009-01-01,USA,Northern Pintail/Avian,True,Interior Alaska,A/northern pintail/Interior Alaska/9BM10146R0/2009,H3N1
13898,2013-01-23,USA,Human,False,Santa Clara,A/Santa Clara/YGA_03002/2013,H3N2
13899,2012-08-24,USA,Mallard/Avian,False,California,A/mallard/California/3370/2012,H9N2
13900,2011-10-10,USA,Swine,False,Minnesota,A/swine/Minnesota/A01240127/2011,H3N2
13901,1995-08-01,Canada,Mallard/Avian,True,ALB,A/mallard/ALB/5/1995,H10N1
13902,2009-07-07,Japan,Human,False,Niigata,A/Niigata/749/2009,H1N1
13903,2013-01-07,Viet Nam,Muscovy Duck/Avian,False,Vietnam,A/muscovy duck/Vietnam/LBM330/2013,H5N1
13904,2010-07-18,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM04626R0/2010,H4N6
13905,2009-08-27,Singapore,Human,False,,A/Singapore/ON1892/2009,H1N1
13906,2011-01-17,Taiwan,Human,False,,A/Taiwan/67/2011,H1N1
13907,2009-04-28,USA,Human,False,California,A/California/VRDL159/2009,H3N2
