,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
230,China,Grebe,Wild,Avian,Low,No,
231,China,Finch,Wild,Avian,Medium,No,"Pet or ceremonial release (i.e. buddist ceremonies, weddings)"
232,China,Muscovy Duck,Domestic,Avian,High,No,
233,China,Bird,Unknown,Avian,,Yes,
234,China,Little Grebe,Wild,Avian,Low,No,
235,China,Wild Chicken,Domestic,Avian,High,No,
236,China,Myna,Wild,Avian,Medium,No,Synanthropic
237,China,Baikal Teal,Wild,Avian,Low,No,
238,China,Domestic Cat,Domestic,Mammal,High,No,Pet
239,China,Parrot,Wild,Avian,Medium,Yes,Pet or exhibit bird. Check surveillance data
240,China,Large Cat,Domestic,Mammal,High,No,Captive ie. Zoo
241,China,Green-Winged Teal,Wild,Avian,Low,No,
242,China,Silky Chicken,Domestic,Avian,High,No,
243,China,Dog,Domestic,Mammal,High,No,Pet
244,China,Ostrich,Wild,Avian,Medium,No,Captive ie. Zoo
245,China,Waterfowl,Wild,Avian,Low,No,
246,China,Swine,Domestic,Mammal,High,No,
247,China,Brown-Headed Gull,Wild,Avian,Low,No,
248,China,Shrike,Wild,Avian,Low,No,
249,China,Garganey,Wild,Avian,Low,No,
250,China,Black-Billed Magpie,Wild,Avian,Low,No,
251,China,Sparrow,Wild,Avian,Medium,No,Synanthropic
252,China,Spot-Billed Duck,Wild,Avian,Low,No,
253,China,Goose,Domestic,Avian,High,No,
254,China,Mallard,Wild,Avian,Low,No,
255,China,Human,Human,Mammal,High,No,
256,China,Duck,Domestic,Avian,High,No,
257,China,Quail,Domestic,Avian,High,No,
258,China,Chicken,Domestic,Avian,High,No,
259,China,Panda,Wild,Mammal,Medium,No,Captive ie. Zoo
260,Chile,Human,Human,Mammal,High,No,
261,Kuwait,Chicken,Domestic,Avian,High,No,
262,Kuwait,Saker Falcon,Wild,Avian,Medium,No,Falconry/hunting
263,Kuwait,Human,Human,Mammal,High,No,
264,Belgium,Mallard,Wild,Avian,Low,No,
265,Belgium,Swine,Domestic,Mammal,High,No,
266,Belgium,Human,Human,Mammal,High,No,
267,Thailand,Unknown,Unknown,Unknown,,Yes,
268,Thailand,Pigeon,Wild,Avian,Medium,No,Synanthropic
269,Thailand,Little Grebe,Wild,Avian,Low,No,
270,Thailand,Tree Sparrow,Wild,Avian,Medium,No,Synanthropic
271,Thailand,Swine,Domestic,Mammal,High,No,
272,Thailand,Human,Human,Mammal,High,No,
273,Thailand,Duck,Domestic,Avian,High,No,
274,Thailand,Openbill Stork,Wild,Avian,Low,No,
275,Thailand,Quail,Domestic,Avian,High,No,
276,Thailand,Chicken,Domestic,Avian,High,No,
277,Dominican Republic,Human,Human,Mammal,High,No,
278,Germany,Mute Swan,Wild,Avian,Low,No,
279,Germany,Swan,Wild,Avian,Low,No,
280,Germany,Mallard,Wild,Avian,Low,No,
281,Germany,Weasel,Domestic,Mammal,High,No,Farmed/pet
282,Germany,Human,Human,Mammal,High,No,
283,Germany,Duck,Unknown,Avian,,Yes,Could be wild or domestic. More details needed
284,Germany,Chicken,Domestic,Avian,High,No,
285,Germany,Swine,Domestic,Mammal,High,No,
286,Hong Kong,Egret,Wild,Avian,Low,No,
287,Hong Kong,Magpie Robin,Wild,Avian,Low,No,
288,Hong Kong,Heron,Wild,Avian,Low,No,
289,Hong Kong,Pigeon,Wild,Avian,Medium,No,Synanthropic
290,Hong Kong,Environment,Unknown,Unknown,,Yes,
291,Hong Kong,Grey Heron,Wild,Avian,Low,No,
292,Hong Kong,Northern Shoveler,Wild,Avian,Low,No,
293,Hong Kong,Avian,Unknown,Avian,,Yes,
294,Hong Kong,Peregrine Falcon,Wild,Avian,Low,No,
295,Hong Kong,Guineafowl,Domestic,Avian,High,No,
296,Hong Kong,Chukar,Domestic,Avian,High,No,
297,Hong Kong,Little Egret,Wild,Avian,Low,No,
