,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
311,Brazil,Semipalmated Sandpiper/Avian,Wild,,,,
312,Egypt,Whiskered Tern/Avian,Wild,,,,
313,China,Mallard/Avian,Wild,,,,
314,USA,Chukar/Avian,Wild,,,,
315,Japan,Falcon/Avian,Wild,,,,
316,Canada,Redhead Duck/Avian,Wild,,,,
317,USA,Guineafowl/Avian,Wild,,,,
318,Canada,Turkey/Avian,Domestic,,,,
319,Japan,Crow/Avian,Wild,,,,
320,Hong Kong,Northern Shoveler/Avian,Wild,,,,
321,Canada,Northern Pintail/Avian,Wild,,,,
322,Bangladesh,Quail/Avian,Domestic,,,,
323,Italy,Turkey/Avian,Domestic,,,,
324,Bangladesh,Chicken/Avian,Domestic,,,,
325,Thailand,Openbill Stork/Avian,Wild,,,,
326,South Korea,Waterfowl/Avian,Wild,,,,
327,USA,Pheasant/Avian,Wild,,,,
328,USA,Tundra Swan/Avian,Wild,,,,
329,Russia,Chicken/Avian,Domestic,,,,
330,USA,Northern Pintail/Avian,Wild,,,,
331,Cambodia,Duck/Avian,Domestic,,,,
332,Ontario,Swine,Domestic,,,,
333,USA,Rhea/Avian,Wild,,,,
334,Canada,Swan/Avian,Wild,,,,
335,Canada,Black Scoter/Avian,Wild,,,,
336,China,Sparrow/Avian,Wild,,,,
337,USA,Ruddy Turnstone/Avian,Wild,,,,
338,Netherlands,Eurasian Wigeon/Avian,Wild,,,,
339,Canada,Pintail,Wild,Avian,Low,No,
340,Canada,Turkey,Domestic,Avian,High,No,
341,Canada,Ruddy Turnstone,Wild,Avian,Low,No,
342,Canada,American Black Duck,Wild,Avian,Low,No,
343,Canada,Unknown,Unknown,Avian,,Yes,Thanks Canada.
344,Canada,Swan,Wild,Avian,Low,No,
345,Canada,Redhead Duck,Wild,Avian,Low,No,
346,Canada,Redhead,Wild,Avian,Low,No,
347,Canada,Murre,Wild,Avian,Low,No,
348,Canada,Scaup,Wild,Avian,Low,No,
349,Canada,Lesser Scaup,Wild,Avian,Low,No,
