,Search Term,Returned Location,Longitude,Latitude
356,Germany_Moeglingen,"Möglingen, Germany",9.1317484,48.8893094
357,Canada_Nova Scotia,"Nova Scotia, Canada",-63.744311,44.6819866
358,New Zealand_Ashburton,"Ashburton, New Zealand",171.7485672,-43.9083813
359,Viet Nam_HungYen,"Lê Hùng Yên, tt. Cần Thạnh, Cần Giờ, Hồ Chí Minh, Vietnam",106.9574881,10.4061855
360,USA_MD,"Maryland, USA",-76.6412712,39.0457549
361,Germany_Berlin,"Berlin, Germany",13.404954,52.5200066
362,Russia_Domodedovo,"Domodedovo, Moscow Oblast, Russia",37.747817,55.4430234
363,USA_MO,"Missouri, USA",-91.8318334,37.9642529
364,USA_MN,"Minnesota, USA",-94.6858998,46.729553
365,Afghanistan,Afghanistan,67.709953,33.93911
366,USA_Rhode Island,"Rhode Island, USA",-71.4774291,41.5800945
367,Viet Nam_Soc Trang,"Soc Trang, Vietnam",105.9599539,9.6003688
368,Germany_Tornitz,"Tornitz, Germany",11.8478546,51.9302587
369,Denmark_Aalborg,"Aalborg, Denmark",9.921747,57.0488195
370,Germany_Neumarkt,"Neumarkt in der Oberpfalz, Germany",11.4671996,49.2772606
371,USA_Craven,"Craven, SD 57451, USA",-98.9251084,45.4421975
372,United Kingdom_Christ's Hospital,"Christs Hospital, Horsham, West Sussex RH13, UK",-0.3623769,51.0461792
373,USA_Iowa,"Iowa, USA",-93.097702,41.8780025
374,Australia_Bunbury,"Bunbury WA 6230, Australia",115.6391736,-33.3270685
375,China_Suzhou,"Suzhou, Jiangsu, China",120.585297,31.298974
376,France_StEtienne,"Saint-Étienne, France",4.3871779,45.439695
377,China_Huadong,"Hua Dong Lu, Pudong Xinqu, Shanghai Shi, China",121.6738024,31.230418
378,New Zealand_Whanganui,"Whanganui, Whanganui 4500, New Zealand",175.0478901,-39.9300887
379,Russia_St. Petersburg,"Saint Petersburg, Russia",30.3350986,59.9342802
380,China_Heilongjiang,"Heilongjiang, China",126.661665,45.742367
381,Germany_Niederwinden,"Niederwinden, 74585 Rot am See, Germany",10.0407304,49.2377342
382,USA_Indiana,"Indiana, USA",-86.1349019,40.2671941
383,Germany_Wurzburg,"Würzburg, Germany",9.9533548,49.7913044
384,Germany_Lohne,"Löhne, Germany",8.7220862,52.1941419
385,Norway_Oslo,"Oslo, Norway",10.7522454,59.9138688
386,USA_Cherry Point,"Marine Corps Air Station Cherry Point, NC, USA",-76.8967043,34.9032325
387,USA_Washington,"Washington, DC, USA",-77.0368707,38.9071923
388,Japan_Sapporo,"Sapporo, Hokkaido Prefecture, Japan",141.3543763,43.0620958
389,Belgium_Antwerp,"Antwerp, Belgium",4.4024643,51.2194475
390,Japan_Shimane,"Shimane Prefecture, Japan",133.0504997,35.4722952
391,Netherlands_Amsterdam,"Amsterdam, Netherlands",4.8951679,52.3702157
392,Dominican Republic_Santo Domingo,"Santo Domingo, Dominican Republic",-69.95,18.466667
393,Malaysia,Malaysia,101.975766,4.210484
394,China_Shaanxi,"Shaanxi, China",108.954239,34.265472
395,USA_Minnesota,"Minnesota, USA",-94.6858998,46.729553
396,USA_Chicago,"Chicago, IL, USA",-87.6297982,41.8781136
397,Taiwan_Taipei,"Taipei, Taiwan",121.5654177,25.0329694
398,Germany_Munich,"Munich, Germany",11.5819806,48.1351253
399,USA_Alabama,"Alabama, USA",-86.902298,32.3182314
400,Australia_Queensland,"Queensland, Australia",142.7027956,-20.9175738
401,China_Nanchang,"Nanchang, Jiangxi, China",115.858198,28.682892
402,Luxembourg,Luxembourg,6.129583,49.815273
403,Viet Nam_Ha Nam,"Hà Nam Province, Vietnam",105.92299,20.5835196
404,France_Ploufragan,"Ploufragan, France",-2.794373,48.488781
405,Russia_Vladimir,"Vladimir, Vladimir Oblast, Russia",40.4178686,56.1445956
406,Myanmar_Kyaing Tong,"Kyaing Tong Street, Yangon, Republic of the Union of Myanmar",96.218997,16.8357277
407,-N/A-_St.Petersburg,"Saint Petersburg, Russia",30.3350986,59.9342802
408,Viet Nam_LangSon,"Lang Son Province, Vietnam",106.6291304,21.8563705
409,Slovenia,Slovenia,14.995463,46.151241
410,Taiwan_Kingmen,"Quemoy, Jinhu Township, 891",118.3761111,24.4458333
411,Germany_Heinersdorf,"Heinersdorf, Großbeeren, Germany",13.326578,52.3892587
412,Russia_Novosibirsk,"Novosibirsk, Novosibirsk Oblast, Russia",82.9357327,55.0083526
413,Laos_Lao,Laos,102.495496,19.85627
414,Thailand,Thailand,100.992541,15.870032
415,Russia_Joshkar-Ola,"Yoshkar-Ola, Mari El Republic, Russia",47.866667,56.633333
416,USA_Idaho,"Idaho, USA",-114.7420408,44.0682019
417,Georgia,"Georgia, USA",-82.9000751,32.1656221
418,China_Changchun,"Changchun, Jilin, China",125.323544,43.817072
419,China_Ningxia,"Ningxia, China",106.258754,38.471318
420,Poland,Poland,19.145136,51.919438
421,United Kingdom_Rook,"Rook House, Warrington Road, Wigan, Wigan WN1 3RP, UK",-2.6253613,53.5443577
422,Australia_Melbourne,"Melbourne VIC, Australia",144.96328,-37.814107
423,USA_Oregon,"Oregon, USA",-120.5542012,43.8041334
424,Bolivia_Santa Cruz,"Santa Cruz de la Sierra, Bolivia",-63.0,-17.866667
425,Russia_Salekhard,"Salekhard, Yamalo-Nenets Autonomous Okrug, Russia",66.6,66.533333
426,Turkey_Ankara,"Ankara/Ankara, Turkey",32.85411,39.92077
427,China_Hebei,"Hebei, China",114.468665,38.037057
428,USA_New Mexico,"New Mexico, USA",-105.8700901,34.5199402
429,Indonesia_West Java,"West Java, Republic of Indonesia",107.668887,-7.090911
430,Italy_Genoa,"Genoa, Italy",8.946256,44.4056499
431,Japan_Osaka-C,"Osaka, Osaka Prefecture, Japan",135.5021651,34.6937378
432,Japan_kumamoto,"Kumamoto, Kumamoto Prefecture, Japan",130.7078911,32.8031004
433,China_Shandong,"Shandong, China",117.020359,36.66853
434,Japan_Utsunomiya,"Utsunomiya, Tochigi Prefecture, Japan",139.8828072,36.5551124
435,Japan_swine,"Jalna, Nariman Nagar, Jalna, Maharashtra 431213, India",75.8928794,19.8305432
436,Germany_Bayern,"Bavaria, Germany",11.4978895,48.7904472
437,Taiwan,Taiwan,120.960515,23.69781
438,Japan_Iwate,"Iwate Prefecture, Japan",141.1526839,39.7036194
439,Kazakhstan_Almati,"Almaty, Kazakhstan",76.8512485,43.2220146
440,Germany_Cologne,"Cologne, Germany",6.9602786,50.937531
441,Japan_Tokushima,"Tokushima, Tokushima Prefecture, Japan",134.5548438,34.0702703
442,Italy,Italy,12.56738,41.87194
443,Sudan,Sudan,30.217636,12.862807
444,Mexico_Mexico city,"Mexico City, Federal District, Mexico",-99.133208,19.4326077
445,USA_Montana,"Montana, USA",-110.3625658,46.8796822
446,Russia_Reshoty,"Reshoty, Nizhnyaya Poyma, Krasnoyarskiy kray, Russia, 663841",97.206056,56.157288
447,Canada_New Brunswick,"New Brunswick, Canada",-66.4619164,46.5653163
448,China_Sichuan,"Sichuan, China",104.075931,30.651652
449,Russia_Tyva,"Tyva, Arkhangelskaya oblast', Russia, 165740",48.6956849,61.8079151
450,Russia_Siberia,Siberia,99.1966559,61.0137097
451,Czech Republic_Ostrava,"Ostrava, Czech Republic",18.2625243,49.8209226
452,Japan_Tochigi,"Tochigi Prefecture, Japan",139.8835651,36.565725
453,Russia_Chita,"Chita, Zabaykalsky Krai, Russia",113.466667,52.05
454,Israel,Israel,34.851612,31.046051
455,USA_West Virginia,"West Virginia, USA",-80.4549026,38.5976262
456,Japan_Nagasaki,"Nagasaki, Nagasaki Prefecture, Japan",129.877667,32.7502856
457,Germany_Hamburg,"Hamburg, Germany",9.9936818,53.5510846
458,Australia_South Austalia,"South Australia, Australia",136.2091547,-30.0002315
459,USA_Silver Spring,"Silver Spring, MD, USA",-77.026088,38.9906657
460,USA_Utah,"Utah, USA",-111.0937311,39.3209801
461,Germany_Ankum-Stockum,"Stockum(Ankum) Niemann, Germany",7.912311,52.531
462,Viet Nam_Son La,"Son La, Vietnam",103.7289167,21.1022284
463,Netherlands_Nijmegen,"Nijmegen, Netherlands",5.8372264,51.8125626
464,USA_Gainesville,"Gainesville, FL, USA",-82.3248262,29.6516344
465,Viet Nam_Ha Tay,"Hà Tây, tp. Kon Tum, Gia Lai, Vietnam",108.1191501,14.2959702
466,USA_San Diego,"San Diego, CA, USA",-117.1610838,32.715738
467,USA_Bronx,"Bronx County, NY, USA",-73.8654295,40.8370495
468,United Kingdom_Northern Ireland,"Northern Ireland, UK",-6.4923145,54.7877149
469,Russia_Rostov,"Rostov-on-Don, Rostov Oblast, Russia",39.7,47.233333
470,Senegal_Dakar,"Dakar, Senegal",-17.3660286,14.7645042
471,United Kingdom_Scotland,"Scotland, UK",-4.2026458,56.4906712
472,Egypt_Qalubia,"Al Qalyubia Governorate, Egypt",31.2168466,30.3292368
473,Indonesia_Bali,"Bali, Republic of Indonesia",115.188916,-8.4095178
474,USA_CA,"California, USA",-119.4179324,36.778261
475,Mexico_Jalisco,"Jalisco, Mexico",-103.3494376,20.6595382
476,India_Vadu,"Vadu, Gujarat 382705, India",72.4953398,23.3604178
477,Canada_Manitoba,"Manitoba, Canada",-98.8138763,53.7608608
478,United Kingdom,United Kingdom,-3.435973,55.378051
479,Mexico_Coahuila,"Coahuila, Mexico",-101.7068294,27.058676
480,Japan_Ibaraki,"Ibaraki Prefecture, Japan",140.4467935,36.3418112
481,Zambia,Zambia,27.849332,-13.133897
482,China_Beijing,"Beijing, Beijing, China",116.407395,39.904211
483,China_Shanxi,"Shanxi, China",112.562398,37.873532
484,Viet Nam_HoaBinh,"cầu Hòa Bình, Đông Hoà, tp. Thái Bình, Thái Bình, Vietnam",106.3367203,20.477229
485,China_Zhoushan,"Zhoushan, Zhejiang, China",122.207216,29.985295
486,Russia_Altai,"Altai Krai, Russia",82.6758596,51.7936298
487,Cambodia,Cambodia,104.990963,12.565679
488,USA_Ft.Benning,"Fort Benning, Cusseta, GA 31905, USA",-84.9688191,32.3523691
489,China_Fujian,"Fujian, China",119.295144,26.10078
490,USA_South Carolina,"South Carolina, USA",-81.1637245,33.836081
491,Argentina,Argentina,-63.616672,-38.416097
492,Belgium_Brussels,"Brussels, Belgium",4.3517103,50.8503396
493,USA_Bethesda,"Bethesda, MD, USA",-77.0947092,38.984652
494,USA_NY,"New York, NY, USA",-74.0059413,40.7127837
495,Canada_Toronto,"Toronto, ON, Canada",-79.3831843,43.653226
496,Australia_South Australia,"South Australia, Australia",136.2091547,-30.0002315
497,Canada_QC,"Québec, Canada",-73.5491361,52.9399159
498,South Africa_Johannesburg,"Johannesburg, South Africa",28.0473051,-26.2041028
499,Japan_Niigata,"Niigata, Niigata Prefecture, Japan",139.0364126,37.9161924
500,Japan_Fukushima,"Fukushima, Fukushima Prefecture, Japan",140.4747282,37.7608337
501,France_Paris,"Paris, France",2.3522219,48.856614
502,USA_NJ,"New Jersey, USA",-74.4056612,40.0583238
503,Japan_Kawasaki,"Kawasaki, Kanagawa Prefecture, Japan",139.7030511,35.5309058
504,Thailand_Kalasin,"Kalasin, Mueang Kalasin District, Kalasin 46000, Thailand",103.509167,16.434167
505,USA_Michigan,"Michigan, USA",-85.6023643,44.3148443
506,USA_NC,"North Carolina, USA",-79.0192997,35.7595731
507,New Zealand_Waikato,"Waikato, New Zealand",175.4375574,-38.0594263
508,China_Yunnan,"Yunnan, China",102.710002,25.045806
509,Russia_Krasnoozerskoe,"Krasnoyarsk, Krasnoyarsk Krai, Russia",92.8932476,56.0152834
510,China_Shijiazhuang,"Shijiazhuang, Hebei, China",114.51486,38.042307
511,New Zealand,New Zealand,174.885971,-40.900557
512,Spain_Terrassa,"Terrassa, Barcelona, Spain",2.0088747,41.563211
513,Pakistan,Pakistan,69.345116,30.375321
514,Egypt_Menofia,"Menofia Governorate, Egypt",30.9876321,30.5972455
515,Russia_Arkhangelsk,"Arkhangelsk, Arkhangelsk Oblast, Russia",40.5601553,64.5472507
516,Guam,Guam,144.793731,13.444304
517,Viet Nam,Vietnam,108.277199,14.058324
518,Mexico_Chis,"Chiapas, Mexico",-93.1292353,16.7569318
519,India_INDIA,India,78.96288,20.593684
520,Bangladesh,Bangladesh,90.356331,23.684994
521,China_San Jiang,"Sanjiang, Liuzhou, Guangxi, China",109.607682,25.783191
522,India_West Bengal,"West Bengal, India",87.8549755,22.9867569
523,Laos,Laos,102.495496,19.85627
524,USA_Oklahoma,"Oklahoma City, OK, USA",-97.5164276,35.4675602
525,USA_Arizona,"Arizona, USA",-111.0937311,34.0489281
526,Thailand_Udon Thani,"Udon Thani, Thailand",102.7872325,17.4138413
527,Japan_Sendai,"Sendai, Miyagi Prefecture, Japan",140.8693558,38.268215
528,Singapore,Singapore,103.819836,1.352083
529,Australia_Western Australia,"Western Australia, Australia",121.6283098,-27.6728168
530,Germany_Germany-BY,"Fahrschule Hettl by Drive Zone GmbH, Fürther Straße 13, 90587 Veitsbronn, Germany",10.8815303,49.5078202
531,Japan_Narita,"Narita, Chiba Prefecture, Japan",140.3187806,35.7766076
532,USA_Louisiana,"Louisiana, USA",-91.9623327,30.9842977
533,China_Jangsu,"Jiangsu, China",118.763232,32.061707
534,Thailand_Angthong,"Ang Thong, Thailand",100.455052,14.5896054
535,USA_Pennsylvania,"Pennsylvania, USA",-77.1945247,41.2033216
536,Mexico_Veracruz,"Heroica Veracruz, Veracruz, Mexico",-96.1342241,19.173773
537,Japan_Mie,"Mie Prefecture, Japan",136.5085883,34.7302829
538,Japan_Kumamoto,"Kumamoto, Kumamoto Prefecture, Japan",130.7078911,32.8031004
539,Sweden,Sweden,18.643501,60.128161
540,Hungary_Budapest,"Budapest, Hungary",19.040235,47.497912
541,China_Wuxi,"Wuxi, Jiangsu, China",120.31191,31.49117
542,Australia_starling,"Starling Road, Officer VIC 3809, Australia",145.416128,-38.0550244
543,Australia_Sydney,"Sydney NSW, Australia",151.2069902,-33.8674869
544,Russia_Vladivostok,"Vladivostok, Primorsky Krai, Russia",131.9,43.133333
545,Japan_Hyogo,"Hyogo Prefecture, Japan",135.1830706,34.6912688
546,Romania,Romania,24.96676,45.943161
547,Canada_Canada-ON,"Ontario, Canada",-85.3232139,51.253775
548,Poland_Bieganow,"Bieganów, Poland",20.4927442,52.0451517
549,Austria,Austria,14.550072,47.516231
550,USA_mallard.Maryland,"Mallard Lane, Lothian, MD 20711, USA",-76.6835091,38.7616177
551,Cote dIvoire_Ivory Coast,Côte d'Ivoire,-5.54708,7.539989
552,Viet Nam_HaNam,"đảo Hà Nam, tx. Quảng Yên, Vietnam",106.8060388,20.902393
553,Japan,Japan,138.252924,36.204824
554,Germany_Wuerusreuth,"Gera, Germany",12.0807203,50.8850706
555,Indonesia_South Kalimantan,"South Kalimantan, Republic of Indonesia",115.2837585,-3.0926415
556,USA_Santa Fe,"Santa Fe, NM, USA",-105.937799,35.6869752
557,China_Jiangsu,"Jiangsu, China",118.763232,32.061707
558,China_Gansu,"Gansu, China",103.826447,36.059561
559,Japan_Yamaguchi,"Yamaguchi, Yamaguchi Prefecture, Japan",131.4737269,34.178496
560,Thailand_Uthaithani,"Uthai Thani, Thailand",100.0245527,15.3835001
561,Russia_Nizhnii Novgorod,"Nizhniy Novgorod, Nizhny Novgorod Oblast, Russia",43.9360589,56.2965039
562,Japan_Tokyo,"Tokyo, Japan",139.7319925,35.7090259
563,USA_Delaware,"Delaware, USA",-75.5276699,38.9108325
564,China_HuBei,"Hubei, Luohu, Shenzhen, China, 518040",114.125215,22.544253
565,Germany_Ebbinghof,"Ebbinghof, 57392 Schmallenberg, Germany",8.2858971,51.1799815
566,China_Hei Longjiang,"Heilongjiang, China",126.661665,45.742367
567,-N/A-_Indonesia,Republic of Indonesia,113.921327,-0.789275
568,Canada_Canada-SK,"Saskatchewan, Canada",-106.4508639,52.9399159
569,Viet Nam_HoChiMinh,"Tan Son Nhat International Airport, Ho Chi Minh, Vietnam",106.6588245,10.8184631
570,Chile,Chile,-71.542969,-35.675147
571,USA_Illinois,"Illinois, USA",-89.3985283,40.6331249
572,Canada_chicken,"Chicken, AK, USA",-141.9361111,64.0733333
573,Canada_Canada-AB,"Alberta, Canada",-116.5765035,53.9332706
574,China_Xuzhou,"Xuzhou, Jiangsu, China",117.284124,34.205768
575,USA_Mississippi,"Mississippi, USA",-89.3985283,32.3546679
576,Thailand_Khon Kaen,"Khon Kaen Airport (KKC), Sila, Mueang Khon Kaen District, Khon Kaen 40000, Thailand",102.7867966,16.4651045
577,New Zealand_Dunedin,"Dunedin, New Zealand",170.5027976,-45.8787605
578,Germany_Albersloh,"Albersloh, 48324 Sendenhorst, Germany",7.733318,51.868518
579,Netherlands_Tilburg,"Tilburg, Netherlands",5.0919143,51.560596
580,Japan_Yamagata,"Yamagata, Yamagata Prefecture, Japan",140.3396017,38.2554388
581,Viet Nam_Lang Son,"Lang Son Province, Vietnam",106.6291304,21.8563705
582,Japan_Sakai,"Sakai, Osaka Prefecture, Japan",135.482998,34.573262
583,Croatia,Croatia,15.2,45.1
584,Switzerland,Switzerland,8.227512,46.818188
585,Chile_Santiago,"Santiago, Santiago Metropolitan Region, Chile",-70.641997,-33.4691199
586,Japan_Okinawa,"Okinawa Prefecture, Japan",127.6809317,26.2124013
587,Canada_GSC_chicken,"Calle C, Vicente Guerrero, 70980 Santa María Huatulco, Oax., Mexico",-96.320396,15.8244877
588,New Zealand_Tairawhiti,"Tairawhiti Street, Ratana 4581, New Zealand",175.1763854,-40.0397221
589,USA_Ohio,"Ohio, USA",-82.907123,40.4172871
590,USA_swine,"Swine Building, Town Hill Road, Terryville, CT 06786, USA",-73.0202927,41.6678341
591,France_Finnistere,"Finistere, France",-3.9300525,48.2520249
592,United Kingdom_Guildford,"Guildford, Guildford, Surrey, UK",-0.570409,51.23622
593,South Africa,South Africa,22.937506,-30.559482
594,Viet Nam_Long An,"tp. Tân An, Long An, Vietnam",106.4052541,10.5330098
595,Russia_Cygnus olor,"Raipur Junction, Foot Bridge, Loco Colony, Gudhiyari, Raipur, Chhattisgarh 492009, India",81.6298804,21.2563505
596,Denmark_Copenhagen,"Copenhagen, Denmark",12.5683371,55.6760968
597,Japan_Kobe,"Kobe, Hyogo Prefecture, Japan",135.1955112,34.690083
598,China_Zhejiang,"Zhejiang, China",120.152792,30.267443
599,Germany_Greven,"Greven, Germany",7.61711,52.0965179
600,USA_Arkansas,"Arkansas, USA",-91.8318334,35.20105
601,Bhutan,Bhutan,90.433601,27.514162
602,Russia_Chany,"Chany, Novosibirsk Oblast, Russia",76.75,55.316667
603,New Zealand_Otago,"Otago, New Zealand",169.6345253,-44.8280041
604,New Zealand_Wellington,"Wellington, New Zealand",174.776236,-41.2864603
605,China_Changzhou,"Changzhou, Jiangsu, China",119.974062,31.811226
606,Viet Nam_Cao Bang,"Cao Bang, Vietnam",106.2522143,22.635689
607,Indonesia_Central Java,"Central Java, Republic of Indonesia",110.1402594,-7.150975
608,USA_DE,"Delaware, USA",-75.5276699,38.9108325
609,Japan_Shizuoka,"Shizuoka, Shizuoka Prefecture, Japan",138.3827596,34.975562
610,Canada_BC,"British Columbia, Canada",-127.6476206,53.7266683
611,China_Dongting,"Dongting, Wuchang, Wuhan, China, 430062",114.355681,30.570125
612,France_Cotes d'Armor,"Cotes-d'Armor, France",-3.3263676,48.5108101
613,Mongolia_Dundgobi,"Dundgovi, Mongolia",106.7644209,45.5822786
614,Russia_Ekaterinburg,"Yekaterinburg, Sverdlovsk Oblast, Russia",60.6057025,56.8389261
615,China_Henan,"Henan, China",113.753602,34.765515
616,China_Shengzhen,"Shenzhen, Guangdong, China",114.057868,22.543099
617,China_Rizhao,"Rizhao, Shandong, China",119.526885,35.416329
618,China_Inner Mongolia,"Inner Mongolia, China",111.76629,40.81739
619,Viet Nam_LongAn,"Long'an, Nanning, Guangxi, China",107.696153,23.166028
620,Spain_Oviedo,"Oviedo, Asturias, Spain",-5.8493887,43.3619145
621,China_Kowloon,"Kowloon, Hong Kong",114.1796057,22.3185673
622,New Caledonia,New Caledonia,165.618042,-20.904305
623,Belgium_Tessenderlo,"Tessenderlo, Belgium",5.0881938,51.0642666
624,Russia_Blagovechensk,"Blagoveshchensk, Amur Oblast, Russia",127.5404017,50.2727763
625,USA_Georgia,"Georgia, USA",-82.9000751,32.1656221
626,Mexico_Hidalgo,"Hidalgo, Mexico",-98.7623874,20.0910963
627,France_Nice,"Nice, France",7.2619532,43.7101728
628,Myanmar,Republic of the Union of Myanmar,95.956223,21.913965
629,Thailand_Rachaburi,"Ratchaburi, Thailand",99.8134211,13.5282893
630,Japan_Nara,"Nara, Nara Prefecture, Japan",135.8050002,34.6850869
631,USA_Nebraska,"Nebraska, USA",-99.9018131,41.4925374
632,Indonesia_Sulawesi Selatan,"South Sulawesi, Republic of Indonesia",119.9740534,-3.6687994
633,Russia_Russia_Krasnodar,"Krasnodar, Krasnodar Krai, Russia",38.966667,45.033333
634,Ecuador_Quito,"Quito, Ecuador",-78.4678382,-0.1806532
635,Kyrgyzstan_Bishkek,"Bishkek, Kyrgyzstan",74.612222,42.874722
636,Viet Nam_Bac Lieu,"Bac Lieu, Vietnam",105.5136472,9.2515555
637,Viet Nam_Binh Duong,"Binh Duong, Vietnam",106.477017,11.3254024
